,Forecasted Load
2025-09-15 00:00:00+02:00,7133.0
2025-09-15 01:00:00+02:00,6962.0
2025-09-15 02:00:00+02:00,6860.0
2025-09-15 03:00:00+02:00,6842.0
2025-09-15 04:00:00+02:00,6942.0
2025-09-15 05:00:00+02:00,7248.0
2025-09-15 06:00:00+02:00,8006.0
2025-09-15 07:00:00+02:00,8825.0
2025-09-15 08:00:00+02:00,9242.0
2025-09-15 09:00:00+02:00,9306.0
2025-09-15 10:00:00+02:00,9322.0
2025-09-15 11:00:00+02:00,9297.0
2025-09-15 12:00:00+02:00,9271.0
2025-09-15 13:00:00+02:00,9198.0
2025-09-15 14:00:00+02:00,9179.0
2025-09-15 15:00:00+02:00,9179.0
2025-09-15 16:00:00+02:00,9176.0
2025-09-15 17:00:00+02:00,9309.0
2025-09-15 18:00:00+02:00,9308.0
2025-09-15 19:00:00+02:00,9228.0
2025-09-15 20:00:00+02:00,9090.0
2025-09-15 21:00:00+02:00,8722.0
2025-09-15 22:00:00+02:00,8179.0
2025-09-15 23:00:00+02:00,7717.0
