,Forecasted Load
2025-10-15 00:00:00+02:00,8176.0
2025-10-15 01:00:00+02:00,7978.0
2025-10-15 02:00:00+02:00,7931.0
2025-10-15 03:00:00+02:00,7878.0
2025-10-15 04:00:00+02:00,7893.0
2025-10-15 05:00:00+02:00,8213.0
2025-10-15 06:00:00+02:00,8979.0
2025-10-15 07:00:00+02:00,9656.0
2025-10-15 08:00:00+02:00,9912.0
2025-10-15 09:00:00+02:00,9916.0
2025-10-15 10:00:00+02:00,9852.0
2025-10-15 11:00:00+02:00,9713.0
2025-10-15 12:00:00+02:00,9560.0
2025-10-15 13:00:00+02:00,9513.0
2025-10-15 14:00:00+02:00,9495.0
2025-10-15 15:00:00+02:00,9488.0
2025-10-15 16:00:00+02:00,9522.0
2025-10-15 17:00:00+02:00,9738.0
2025-10-15 18:00:00+02:00,9883.0
2025-10-15 19:00:00+02:00,9798.0
2025-10-15 20:00:00+02:00,9552.0
2025-10-15 21:00:00+02:00,9199.0
2025-10-15 22:00:00+02:00,8754.0
2025-10-15 23:00:00+02:00,8334.0
