,price_eur_mwh
2025-09-15 00:00:00+02:00,16.08
2025-09-15 01:00:00+02:00,8.22
2025-09-15 02:00:00+02:00,4.61
2025-09-15 03:00:00+02:00,3.25
2025-09-15 04:00:00+02:00,3.2
2025-09-15 05:00:00+02:00,3.71
2025-09-15 06:00:00+02:00,18.12
2025-09-15 07:00:00+02:00,50.41
2025-09-15 08:00:00+02:00,47.46
2025-09-15 09:00:00+02:00,10.0
2025-09-15 10:00:00+02:00,16.54
2025-09-15 11:00:00+02:00,7.57
2025-09-15 12:00:00+02:00,4.55
2025-09-15 13:00:00+02:00,3.97
2025-09-15 14:00:00+02:00,3.8
2025-09-15 15:00:00+02:00,3.73
2025-09-15 16:00:00+02:00,4.38
2025-09-15 17:00:00+02:00,5.81
2025-09-15 18:00:00+02:00,11.73
2025-09-15 19:00:00+02:00,46.6
2025-09-15 20:00:00+02:00,24.54
2025-09-15 21:00:00+02:00,5.12
2025-09-15 22:00:00+02:00,2.99
2025-09-15 23:00:00+02:00,0.48
2025-09-16 00:00:00+02:00,0.07
