,price_eur_mwh
2025-10-15 00:00:00+02:00,74.5
2025-10-15 00:15:00+02:00,64.99
2025-10-15 00:30:00+02:00,55.0
2025-10-15 00:45:00+02:00,49.25
2025-10-15 01:00:00+02:00,82.99
2025-10-15 01:15:00+02:00,69.99
2025-10-15 01:30:00+02:00,63.38
2025-10-15 01:45:00+02:00,60.0
2025-10-15 02:00:00+02:00,64.72
2025-10-15 02:15:00+02:00,62.54
2025-10-15 02:30:00+02:00,61.81
2025-10-15 02:45:00+02:00,61.18
2025-10-15 03:00:00+02:00,60.0
2025-10-15 03:15:00+02:00,60.0
2025-10-15 03:30:00+02:00,60.89
2025-10-15 03:45:00+02:00,61.91
2025-10-15 04:00:00+02:00,59.99
2025-10-15 04:15:00+02:00,61.65
2025-10-15 04:30:00+02:00,66.97
2025-10-15 04:45:00+02:00,85.07
2025-10-15 05:00:00+02:00,69.4
2025-10-15 05:15:00+02:00,90.8
2025-10-15 05:30:00+02:00,102.09
2025-10-15 05:45:00+02:00,106.58
2025-10-15 06:00:00+02:00,104.72
2025-10-15 06:15:00+02:00,119.42
2025-10-15 06:30:00+02:00,155.79
2025-10-15 06:45:00+02:00,188.01
2025-10-15 07:00:00+02:00,202.1
2025-10-15 07:15:00+02:00,239.39
2025-10-15 07:30:00+02:00,270.81
2025-10-15 07:45:00+02:00,280.02
2025-10-15 08:00:00+02:00,306.99
2025-10-15 08:15:00+02:00,269.41
2025-10-15 08:30:00+02:00,230.88
2025-10-15 08:45:00+02:00,198.64
2025-10-15 09:00:00+02:00,230.81
2025-10-15 09:15:00+02:00,196.43
2025-10-15 09:30:00+02:00,145.79
2025-10-15 09:45:00+02:00,131.75
2025-10-15 10:00:00+02:00,183.04
2025-10-15 10:15:00+02:00,138.75
2025-10-15 10:30:00+02:00,128.37
2025-10-15 10:45:00+02:00,109.29
2025-10-15 11:00:00+02:00,137.52
2025-10-15 11:15:00+02:00,119.95
2025-10-15 11:30:00+02:00,109.03
2025-10-15 11:45:00+02:00,103.4
2025-10-15 12:00:00+02:00,121.67
2025-10-15 12:15:00+02:00,113.82
2025-10-15 12:30:00+02:00,107.44
2025-10-15 12:45:00+02:00,100.61
2025-10-15 13:00:00+02:00,116.23
2025-10-15 13:15:00+02:00,109.99
2025-10-15 13:30:00+02:00,104.45
2025-10-15 13:45:00+02:00,98.2
2025-10-15 14:00:00+02:00,106.08
2025-10-15 14:15:00+02:00,106.98
2025-10-15 14:30:00+02:00,112.44
2025-10-15 14:45:00+02:00,119.04
2025-10-15 15:00:00+02:00,99.84
2025-10-15 15:15:00+02:00,101.82
2025-10-15 15:30:00+02:00,115.54
2025-10-15 15:45:00+02:00,138.19
2025-10-15 16:00:00+02:00,93.2
2025-10-15 16:15:00+02:00,106.67
2025-10-15 16:30:00+02:00,135.32
2025-10-15 16:45:00+02:00,161.3
2025-10-15 17:00:00+02:00,94.16
2025-10-15 17:15:00+02:00,119.93
2025-10-15 17:30:00+02:00,149.88
2025-10-15 17:45:00+02:00,144.4
2025-10-15 18:00:00+02:00,120.0
2025-10-15 18:15:00+02:00,131.53
2025-10-15 18:30:00+02:00,124.28
2025-10-15 18:45:00+02:00,104.99
2025-10-15 19:00:00+02:00,104.99
2025-10-15 19:15:00+02:00,90.88
2025-10-15 19:30:00+02:00,83.5
2025-10-15 19:45:00+02:00,70.3
2025-10-15 20:00:00+02:00,84.71
2025-10-15 20:15:00+02:00,90.92
2025-10-15 20:30:00+02:00,75.72
2025-10-15 20:45:00+02:00,60.93
2025-10-15 21:00:00+02:00,89.45
2025-10-15 21:15:00+02:00,70.0
2025-10-15 21:30:00+02:00,59.52
2025-10-15 21:45:00+02:00,50.99
2025-10-15 22:00:00+02:00,50.43
2025-10-15 22:15:00+02:00,47.24
2025-10-15 22:30:00+02:00,43.3
2025-10-15 22:45:00+02:00,37.68
2025-10-15 23:00:00+02:00,42.38
2025-10-15 23:15:00+02:00,38.47
2025-10-15 23:30:00+02:00,36.93
2025-10-15 23:45:00+02:00,35.99
2025-10-16 00:00:00+02:00,41.79
