,Solar,Wind Onshore
2025-09-15 00:00:00+02:00,0.4,426.5
2025-09-15 01:00:00+02:00,0.41,389.92
2025-09-15 02:00:00+02:00,0.41,357.05
2025-09-15 03:00:00+02:00,0.39,354.95
2025-09-15 04:00:00+02:00,0.38,362.48
2025-09-15 05:00:00+02:00,0.39,369.28
2025-09-15 06:00:00+02:00,4.21,430.57
2025-09-15 07:00:00+02:00,45.06,478.65
2025-09-15 08:00:00+02:00,134.62,518.19
2025-09-15 09:00:00+02:00,267.48,621.38
2025-09-15 10:00:00+02:00,408.34,811.0
2025-09-15 11:00:00+02:00,496.64,1058.73
2025-09-15 12:00:00+02:00,544.53,1323.07
2025-09-15 13:00:00+02:00,529.38,1582.71
2025-09-15 14:00:00+02:00,483.01,1778.38
2025-09-15 15:00:00+02:00,380.35,1867.58
2025-09-15 16:00:00+02:00,212.69,1896.96
2025-09-15 17:00:00+02:00,96.67,1898.12
2025-09-15 18:00:00+02:00,16.82,1882.11
2025-09-15 19:00:00+02:00,1.34,1907.97
2025-09-15 20:00:00+02:00,0.48,1972.1
2025-09-15 21:00:00+02:00,0.45,2015.56
2025-09-15 22:00:00+02:00,0.48,1991.28
2025-09-15 23:00:00+02:00,0.47,1900.35
