,Solar,Wind Onshore
2025-10-15 00:00:00+02:00,0.36,960.44
2025-10-15 01:00:00+02:00,0.34,932.01
2025-10-15 02:00:00+02:00,0.34,870.57
2025-10-15 03:00:00+02:00,0.34,795.73
2025-10-15 04:00:00+02:00,0.37,735.98
2025-10-15 05:00:00+02:00,0.42,677.25
2025-10-15 06:00:00+02:00,0.52,623.51
2025-10-15 07:00:00+02:00,3.97,564.14
2025-10-15 08:00:00+02:00,29.0,496.87
2025-10-15 09:00:00+02:00,88.22,435.45
2025-10-15 10:00:00+02:00,154.77,376.74
2025-10-15 11:00:00+02:00,172.43,334.49
2025-10-15 12:00:00+02:00,247.8,325.04
2025-10-15 13:00:00+02:00,236.91,329.44
2025-10-15 14:00:00+02:00,212.09,341.07
2025-10-15 15:00:00+02:00,130.97,340.94
2025-10-15 16:00:00+02:00,64.71,340.79
2025-10-15 17:00:00+02:00,8.36,388.47
2025-10-15 18:00:00+02:00,0.39,480.22
2025-10-15 19:00:00+02:00,0.38,559.46
2025-10-15 20:00:00+02:00,0.35,611.21
2025-10-15 21:00:00+02:00,0.34,643.85
2025-10-15 22:00:00+02:00,0.33,681.04
2025-10-15 23:00:00+02:00,0.32,737.61
