created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start,source
2025-10-03 03:13:28+00:00,0,SE_3,Planned maintenance,A03,Cancelled,2022-09-02 23:59:00+02:00,M4DNj8Tt9kfZTgFx9WEfqg,1134.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,,1,MAW,PT1M,3,2022-08-10 00:00:00+02:00,A77
2025-10-03 03:13:30+00:00,0,SE_3,Planned maintenance,A03,Cancelled,2023-09-01 23:59:00+02:00,zNLNkD_tCTASvQDIGXJxzQ,1134.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,,1,MAW,PT1M,2,2023-07-26 00:00:00+02:00,A77
2025-10-03 23:32:35+00:00,0,SE_3,Planned maintenance,A03,,2021-09-02 23:59:00+02:00,ThMa3vP8DfiSpedd-0_zKw,1134.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,,1,MAW,PT1M,4,2021-07-28 00:00:00+02:00,A77
2025-10-05 13:18:50+00:00,820,SE_3,Planned maintenance,A03,,2021-02-03 13:30:00+01:00,CUfEZLcPVrIoiwSabWiVfQ,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,1,2021-02-03 10:00:00+01:00,A77
2025-10-05 13:24:20+00:00,230,SE_3,Planned maintenance,A03,Cancelled,2021-05-07 20:00:00+02:00,I_MD3ixBziV5YqBKTqfEEw,330.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,,1,MAW,PT1M,2,2021-04-19 08:00:00+02:00,A77
2025-10-05 13:29:37+00:00,0,SE_3,Planned maintenance,A03,,2021-01-07 12:00:00+01:00,AzxeXsF3nbKuoKFIqfzoPQ,100.0,Hydro Water Reservoir,46WPU0000000018Q,SE3,Trängslet,Trängslet G2,1,MAW,PT1M,1,2021-01-07 10:00:00+01:00,A80
2025-10-05 13:50:49+00:00,86,SE_3,Unplanned outage,A03,,2021-01-04 09:00:00+01:00,JFMUmpmMBMzRSipWnM0iog,260.0,Fossil Gas,46WPU0000000062N,SE3,Rya KVV ,,1,MAW,PT1M,1,2021-01-04 05:20:00+01:00,A77
2025-10-05 14:05:40+00:00,0,SE_3,Unplanned outage,A03,,2021-01-15 18:30:00+01:00,-NDz3rY9CRJmhwJaWb4bIQ,190.0,Fossil Oil,46WPU0000000023X,SE3,Värtaverket,KVV1 Värtaverket,1,MAW,PT1M,2,2021-01-15 11:33:00+01:00,A80
2025-10-05 14:13:15+00:00,0,SE_3,Unplanned outage,A03,,2021-01-22 18:00:00+01:00,gfa_AwqU6lF78Xj2N4F11A,260.0,Fossil Gas,46WPU0000000062N,SE3,Rya KVV ,,1,MAW,PT1M,5,2021-01-18 13:00:00+01:00,A77
2025-10-05 14:17:08+00:00,327,SE_3,Unplanned outage,A03,,2021-01-21 02:00:00+01:00,sk8OFJd6Cim3ZfZUmApaWQ,492.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,Forsmark block 1 G12,1,MAW,PT1M,5,2020-12-23 23:45:00+01:00,A80
