created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,entsoe_mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start,source,start_local,end_local,duration_days,reduction_mw,event_id,kind,unit_or_pair,unit_name,entsoe_source,duplicate_of,in_domain,out_domain,pair,kept,nominal_mw_proxy,season,hydro_plausible,matched_thread_ids,rejection_reason,accepted,revision_surprise,first_publication_lead_hours,n_versions
2025-10-05 14:17:08+00:00,0,SE_3,Unplanned outage,A03,,2021-01-25 08:00:00+00:00,sk8OFJd6Cim3ZfZUmApaWQ,492.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,Forsmark block 1 G12,40456,MAW,PT1M,5,2021-01-21 01:00:00+00:00,A80,2021-01-21 02:00:00+01:00,2021-01-25 09:00:00+01:00,4.291666666666667,492.0,G001,generation,46WPU0000000015W,Forsmark block 1,A80,,,,,,,winter,False,,overlap_below_50pct,False,False,,0
2025-10-05 15:22:51+00:00,0,SE_3,Unplanned outage,A03,,2021-03-09 22:58:00+00:00,qbFWSBIy2PCQOQ3G6qSKTg,565.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,Ringhals block 4 G41,1,MAW,PT1M,4,2021-03-03 12:15:00+00:00,A80,2021-03-03 13:15:00+01:00,2021-03-09 23:58:00+01:00,6.446527777777778,565.0,G002,generation,46WPU0000000014Y,Ringhals 4,A80,,,,,,,spring,False,,overlap_below_50pct,False,False,,0
2025-10-05 15:38:36+00:00,300,SE_3,Planned maintenance,A03,,2021-03-21 09:00:00+00:00,Ue5hNNHMjxjEmUAa3LFH2w,988.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,1,MAW,PT1M,4,2021-03-20 08:00:00+00:00,A77,2021-03-20 09:00:00+01:00,2021-03-21 10:00:00+01:00,1.0416666666666667,688.0,G003,generation,46WPU0000000015W,Forsmark block 1,A77,,,,,,,spring,False,0b3434a8-0fa4-459c-8eb4-dbf5b0f49fb1,,True,True,1560.7366073997223,4
2025-10-05 17:35:20+00:00,0,SE_3,Planned maintenance,A03,,2021-05-30 08:00:00+00:00,PfiByVUk58BnP01l4MPgZg,1118.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,9,2021-05-02 06:00:00+00:00,A77,2021-05-02 08:00:00+02:00,2021-05-30 10:00:00+02:00,28.083333333333332,1118.0,G004,generation,46WPU0000000016U,Forsmark block 2,A77,,,,,,,spring,True,f5439ca7-78cf-4c2a-8cef-f7ce88251a94,,True,True,29536.73629182528,9
2025-10-05 18:16:55+00:00,0,SE_3,Planned maintenance,A03,,2021-06-18 11:33:00+00:00,gZwgymnrOjRah3MqDYHWfA,1400.0,Nuclear,46WPU0000000061P,SE3,Oskarshamn 3,Oskarshamn G3,1,MAW,PT1M,9,2021-05-22 17:00:00+00:00,A80,2021-05-22 19:00:00+02:00,2021-06-18 13:33:00+02:00,26.772916666666667,1400.0,G005,generation,46WPU0000000061P,Oskarshamn 3,A80,,,,,,,spring,True,,okg_unit,False,False,,0
2025-10-05 17:48:24+00:00,450,SE_3,Unplanned outage,A03,,2021-06-03 22:00:00+00:00,DiLC1iCIlIiNheHE0rbVFA,1118.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,6,2021-05-30 08:00:00+00:00,A77,2021-05-30 10:00:00+02:00,2021-06-04 00:00:00+02:00,4.583333333333333,668.0,G006,generation,46WPU0000000016U,Forsmark block 2,A77,,,,,,,spring,True,b1d76b05-de21-4724-a284-eb54e3170343,,True,True,4.353315198611111,6
2025-10-05 19:26:06+00:00,0,SE_3,Planned maintenance,A03,,2021-07-23 21:59:00+00:00,85ezoPQzQnsTtoIwszhNMg,988.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,1,MAW,PT1M,5,2021-07-04 10:00:00+00:00,A77,2021-07-04 12:00:00+02:00,2021-07-23 23:59:00+02:00,19.499305555555555,988.0,G007,generation,46WPU0000000015W,Forsmark block 1,A77,,,,,,,summer,False,8703ea50-1d1a-407b-bb9e-41a153fe13f9,,True,True,31052.65986027861,5
2025-10-05 20:27:14+00:00,0,SE_3,Planned maintenance,A03,,2021-09-09 16:00:00+00:00,7___SHqxnBtPDek6RaDVsg,1134.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,,1081,MAW,PT1M,7,2021-07-26 21:00:00+00:00,A77,2021-07-26 23:00:00+02:00,2021-09-09 18:00:00+02:00,44.791666666666664,1134.0,G008,generation,46WPU0000000014Y,Ringhals 4,A77,,,,,,,summer,False,5c774185-e6d1-48a1-b05d-78d72704d0db,,True,True,12898.890574014165,7
2025-10-03 23:32:35+00:00,0,SE_3,Planned maintenance,A03,,2021-09-02 21:59:00+00:00,ThMa3vP8DfiSpedd-0_zKw,1134.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,,1,MAW,PT1M,4,2021-07-27 22:00:00+00:00,A77,2021-07-28 00:00:00+02:00,2021-09-02 23:59:00+02:00,36.99930555555556,1134.0,G009,generation,46WPU0000000014Y,Ringhals 4,A77,G008,,,,,,summer,False,,duplicate_of_G008,False,False,,0
2025-10-05 20:10:53+00:00,0,SE_3,Unplanned outage,A03,,2021-08-27 13:30:00+00:00,0Vj8X9dp2rGw8fjzhsdy5A,1118.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,6,2021-08-23 00:25:00+00:00,A77,2021-08-23 02:25:00+02:00,2021-08-27 15:30:00+02:00,4.545138888888889,1118.0,G010,generation,46WPU0000000016U,Forsmark block 2,A77,,,,,,,summer,False,d6f5646d-55da-444e-a696-9661986bb327,,True,True,-0.12357740027777778,6
2025-10-05 20:35:54+00:00,340,SE_3,Unplanned outage,A03,,2021-09-11 20:00:00+00:00,v8alI6FpSNj44QhrOK2mpg,1134.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,,1,MAW,PT1M,3,2021-09-10 07:30:00+00:00,A77,2021-09-10 09:30:00+02:00,2021-09-11 22:00:00+02:00,1.5208333333333333,794.0,G011,generation,46WPU0000000014Y,Ringhals 4,A77,,,,,,,autumn,False,cc37d8d8-d619-40dd-8af7-0fa5844a5f6a,,True,True,-0.13437812555555556,3
2025-10-05 21:59:31+00:00,0,SE_3,Planned maintenance,A03,,2021-10-22 12:00:00+00:00,yhVCqHh8TRiVzA5B1FLNfg,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,11,2021-09-11 22:00:00+00:00,A77,2021-09-12 00:00:00+02:00,2021-10-22 14:00:00+02:00,40.583333333333336,1172.0,G012,generation,46WPU0000000017S,Forsmark block 3,A77,,,,,,,autumn,False,3582b128-b774-461c-a50c-74de1d05c878,,True,True,32720.59120171778,11
2025-10-05 20:41:43+00:00,300,SE_3,Unplanned outage,A03,,2021-09-15 19:00:00+00:00,rZMvDhwRyqEcGSVJgP0qJw,1134.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,,1,MAW,PT1M,4,2021-09-12 17:00:00+00:00,A77,2021-09-12 19:00:00+02:00,2021-09-15 21:00:00+02:00,3.0833333333333335,834.0,G013,generation,46WPU0000000014Y,Ringhals 4,A77,,,,,,,autumn,False,d6458984-64cc-4906-b763-3c2dc848c09d,,True,True,-0.7910799444444444,4
2025-10-05 21:15:32+00:00,0,SE_3,Unplanned outage,A03,,2021-10-03 09:00:00+00:00,qGsH8TRVXcfQHvf1mUGQ2A,1118.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,9331,MAW,PT1M,6,2021-10-01 20:00:00+00:00,A77,2021-10-01 22:00:00+02:00,2021-10-03 11:00:00+02:00,1.5416666666666667,1118.0,G014,generation,46WPU0000000016U,Forsmark block 2,A77,,,,,,,autumn,False,aa586a50-6a15-40a3-b71b-18606288b0c9,,True,True,155.52419297555556,6
2025-10-05 23:57:05+00:00,0,SE_3,Planned maintenance,A03,,2021-12-19 05:00:00+00:00,l4BJEp7gQERg9G-n-TgU2A,1134.0,Nuclear,46WPU0000000014Y,SE3,Ringhals 4,,1,MAW,PT1M,6,2021-12-17 13:30:00+00:00,A77,2021-12-17 14:30:00+01:00,2021-12-19 06:00:00+01:00,1.6458333333333333,1134.0,G015,generation,46WPU0000000014Y,Ringhals 4,A77,,,,,,,winter,False,b61882a8-491b-4819-bf6d-843b43777dca,,True,True,219.49453970666667,6
2025-10-06 06:24:29+00:00,0,SE_3,Unplanned outage,A03,,2022-01-01 10:00:00+00:00,n7g-SCuwx02auzB7dNkqyw,1063.0,Nuclear,46WPU00000000121,SE3,Ringhals 3,,1,MAW,PT1M,5,2021-12-29 17:15:00+00:00,A77,2021-12-29 18:15:00+01:00,2022-01-01 11:00:00+01:00,2.6979166666666665,1063.0,G016,generation,46WPU00000000121,Ringhals 3,A77,,,,,,,winter,False,fd77deeb-a2ee-4edc-980e-69121e984459,,True,True,-0.43344700861111113,5
2025-10-06 06:27:04+00:00,0,SE_3,Unplanned outage,A03,,2022-01-04 02:00:00+00:00,yGFaLySuPblIqsPGulDBYA,531.0,Nuclear,46WPU00000000121,SE3,Ringhals 3,Ringhals block 3 G31,1,MAW,PT1M,3,2022-01-02 10:00:00+00:00,A80,2022-01-02 11:00:00+01:00,2022-01-04 03:00:00+01:00,1.6666666666666667,531.0,G017,generation,46WPU00000000121,Ringhals 3,A80,,,,,,,winter,False,,overlap_below_50pct,False,False,,0
2025-10-06 06:34:10+00:00,0,SE_3,Unplanned outage,A03,,2022-01-11 06:33:00+00:00,TSSI-pNx9puN_JohcW42eA,1063.0,Nuclear,46WPU00000000121,SE3,Ringhals 3,,1,MAW,PT1M,5,2022-01-06 20:28:00+00:00,A77,2022-01-06 21:28:00+01:00,2022-01-11 07:33:00+01:00,4.420138888888889,1063.0,G018,generation,46WPU00000000121,Ringhals 3,A77,,,,,,,winter,False,3b377b48-5d7a-4549-acce-bbfbeadc4cb4,,True,True,-0.6590176386111111,5
2025-10-06 07:37:53+00:00,0,SE_3,Unplanned outage,A03,,2022-02-27 07:25:00+00:00,Q2sHbdCM7CiTn0j21PwktA,1400.0,Nuclear,46WPU0000000061P,SE3,Oskarshamn 3,Oskarshamn G3,1,MAW,PT1M,5,2022-02-19 00:00:00+00:00,A80,2022-02-19 01:00:00+01:00,2022-02-27 08:25:00+01:00,8.309027777777779,1400.0,G019,generation,46WPU0000000061P,Oskarshamn 3,A80,,,,,,,winter,False,,okg_unit,False,False,,0
2025-10-06 08:42:07+00:00,465,SE_3,Unplanned outage,A03,,2022-04-11 00:00:00+00:00,-xxQxTibmsL6xenQXSiq4g,1118.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,421,MAW,PT1M,2,2022-04-09 23:00:00+00:00,A77,2022-04-10 01:00:00+02:00,2022-04-11 02:00:00+02:00,1.0416666666666667,653.0,G020,generation,46WPU0000000016U,Forsmark block 2,A77,,,,,,,spring,True,a4dffe5a-5f69-45e7-8928-dfd646eda5e1,,True,False,9.641144986111112,2
2025-10-06 09:20:09+00:00,0,SE_3,Planned maintenance,A03,,2022-05-10 19:58:00+00:00,QsSHV4BmJu56yGvz5Rbovw,1400.0,Nuclear,46WPU0000000061P,SE3,Oskarshamn 3,Oskarshamn G3,1,MAW,PT1M,7,2022-04-18 15:00:00+00:00,A80,2022-04-18 17:00:00+02:00,2022-05-10 21:58:00+02:00,22.206944444444446,1400.0,G021,generation,46WPU0000000061P,Oskarshamn 3,A80,,,,,,,spring,True,,okg_unit,False,False,,0
2025-10-06 09:44:10+00:00,0,SE_3,Planned maintenance,A03,,2022-05-26 07:00:00+00:00,LG_U07CACP2tO3XybiPN7g,1172.0,Nuclear,46WPU0000000017S,SE3,Forsmark block 3,,1,MAW,PT1M,7,2022-04-30 23:00:00+00:00,A77,2022-05-01 01:00:00+02:00,2022-05-26 09:00:00+02:00,25.333333333333332,1172.0,G022,generation,46WPU0000000017S,Forsmark block 3,A77,,,,,,,spring,True,19183888-77e8-40c4-ada4-f37bfe3dddc0,,True,True,29530.056687514443,7
2025-10-06 10:44:47+00:00,0,SE_3,Planned maintenance,A03,,2022-06-29 14:00:00+00:00,ZEQxvS1wCRC7TH4UYL7dAg,1063.0,Nuclear,46WPU00000000121,SE3,Ringhals 3,,1,MAW,PT1M,6,2022-05-25 01:00:00+00:00,A77,2022-05-25 03:00:00+02:00,2022-06-29 16:00:00+02:00,35.541666666666664,1063.0,G023,generation,46WPU00000000121,Ringhals 3,A77,,,,,,,spring,True,16a9c9d9-5246-4ecc-9549-5e4eb224b193,,True,True,10215.632356905277,6
2025-10-06 10:54:08+00:00,0,SE_3,Unplanned outage,A03,,2022-06-06 12:00:00+00:00,9OMgdOnKUp94nZHLPCTZBA,988.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,961,MAW,PT1M,20,2022-06-01 07:00:00+00:00,A77,2022-06-01 09:00:00+02:00,2022-06-06 14:00:00+02:00,5.208333333333333,988.0,G024,generation,46WPU0000000015W,Forsmark block 1,A77,,,,,,,summer,True,1c4d18cf-4247-4a71-9c3f-d0a3353cb81e,,True,True,186.5643041391667,20
2025-10-06 10:54:08+00:00,450,SE_3,Unplanned outage,A03,,2022-07-06 13:00:00+00:00,9OMgdOnKUp94nZHLPCTZBA,988.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,8461,MAW,PT1M,20,2022-06-06 12:00:00+00:00,A77,2022-06-06 14:00:00+02:00,2022-07-06 15:00:00+02:00,30.041666666666668,538.0,G025,generation,46WPU0000000015W,Forsmark block 1,A77,,,,,,,summer,True,1c4d18cf-4247-4a71-9c3f-d0a3353cb81e,,True,True,311.56430413916667,20
2025-10-06 11:34:27+00:00,0,SE_3,Planned maintenance,A03,,2022-07-31 05:00:00+00:00,rpXolzpyq6zK2vr1Gvk-4A,1118.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,7,2022-07-10 06:00:00+00:00,A77,2022-07-10 08:00:00+02:00,2022-07-31 07:00:00+02:00,20.958333333333332,1118.0,G026,generation,46WPU0000000016U,Forsmark block 2,A77,,,,,,,summer,False,d8a4fad9-b483-495f-bd5e-7dce63e5ed24,,True,True,31217.08677445361,7
2025-10-06 11:16:22+00:00,0,SE_3,Unplanned outage,A03,,2022-07-21 02:00:00+00:00,1wbAjus94-u5YakDYcS-qw,1400.0,Nuclear,46WPU0000000061P,SE3,Oskarshamn 3,Oskarshamn G3,1,MAW,PT1M,3,2022-07-19 13:53:00+00:00,A80,2022-07-19 15:53:00+02:00,2022-07-21 04:00:00+02:00,1.5048611111111112,1400.0,G027,generation,46WPU0000000061P,Oskarshamn 3,A80,,,,,,,summer,False,,okg_unit,False,False,,0
2025-10-06 13:49:45+00:00,0,SE_3,Planned maintenance,A03,,2022-10-10 08:30:00+00:00,TwEmlSxUIsM86hh0kduQ3A,988.0,Nuclear,46WPU0000000015W,SE3,Forsmark block 1,,1,MAW,PT1M,13,2022-09-04 10:00:00+00:00,A77,2022-09-04 12:00:00+02:00,2022-10-10 10:30:00+02:00,35.9375,988.0,G028,generation,46WPU0000000015W,Forsmark block 1,A77,,,,,,,autumn,False,f1b49d49-5d84-48e1-a5e1-554915f063c5,,True,True,32565.303221319722,13
2025-10-06 15:41:42+00:00,0,SE_3,Unplanned outage,A03,,2022-12-17 15:02:00+00:00,Cm1ieHaLjow4pn_XotvriA,1400.0,Nuclear,46WPU0000000061P,SE3,Oskarshamn 3,Oskarshamn G3,1,MAW,PT1M,5,2022-12-09 20:00:00+00:00,A80,2022-12-09 21:00:00+01:00,2022-12-17 16:02:00+01:00,7.793055555555555,1400.0,G029,generation,46WPU0000000061P,Oskarshamn 3,A80,,,,,,,winter,False,,okg_unit,False,False,,0
2025-10-06 18:02:36+00:00,465,SE_3,Unplanned outage,A03,,2023-02-19 02:00:00+00:00,NasWre0UneyQoksxL-jQaA,1118.0,Nuclear,46WPU0000000016U,SE3,Forsmark block 2,,1,MAW,PT1M,2,2023-02-17 21:00:00+00:00,A77,2023-02-17 22:00:00+01:00,2023-02-19 03:00:00+01:00,1.2083333333333333,653.0,G030,generation,46WPU0000000016U,Forsmark block 2,A77,,,,,,,winter,False,747af9a2-0042-42b8-b4ea-eacd16c58bc9,,True,False,84.45569527111111,2
