event_id,day,kind,driver,reduction_mw,n_control_days,n_affected_valid_hours,median_operational_anomaly_vs_normal_mw,median_operational_anomaly_vs_persistence_mw,share_affected_hours_correct_signed_vs_normal,share_affected_hours_correct_signed_vs_persistence,median_declared_mw_share_visible_vs_normal,classification_vs_normal
G018,2022-01-06,generation,avail_gen_mw,1063.0,4,3,1828.0,1063.0,1.0,0.6666666666666666,1.7196613358419568,visible_vs_normal
G018,2022-01-07,generation,avail_gen_mw,1063.0,4,24,1828.0,293.0,1.0,1.0,1.7196613358419568,visible_vs_normal
G053,2023-10-19,generation,avail_gen_mw,1063.0,4,10,286.0,1063.0,0.9,0.9,0.26904985888993416,visible_vs_normal
G053,2023-10-20,generation,avail_gen_mw,1063.0,4,24,286.0,1063.0,1.0,1.0,0.26904985888993416,visible_vs_normal
G053,2023-10-21,generation,avail_gen_mw,1063.0,4,8,146.0,-140.0,1.0,0.0,0.13734713076199437,visible_vs_normal
G055,2023-11-29,generation,avail_gen_mw,1134.0,4,23,754.0,965.0,0.9565217391304348,0.9565217391304348,0.6649029982363316,visible_vs_normal
G055,2023-11-30,generation,avail_gen_mw,1134.0,4,24,754.0,0.0,1.0,0.0,0.6649029982363316,visible_vs_normal
G055,2023-12-01,generation,avail_gen_mw,1134.0,4,24,759.0,0.0,1.0,0.4583333333333333,0.6693121693121693,visible_vs_normal
G055,2023-12-02,generation,avail_gen_mw,1134.0,4,24,714.0,204.0,1.0,1.0,0.6296296296296297,visible_vs_normal
G055,2023-12-03,generation,avail_gen_mw,1134.0,4,24,868.0,0.0,1.0,0.0,0.7654320987654321,visible_vs_normal
G055,2023-12-04,generation,avail_gen_mw,1134.0,4,3,868.0,0.0,1.0,0.0,0.7654320987654321,visible_vs_normal
G060,2024-03-16,generation,avail_gen_mw,1172.0,4,7,1237.0,1172.0,1.0,1.0,1.0554607508532423,visible_vs_normal
G060,2024-03-17,generation,avail_gen_mw,1172.0,4,24,1237.0,1172.0,1.0,1.0,1.0554607508532423,visible_vs_normal
G060,2024-03-18,generation,avail_gen_mw,1172.0,4,24,1237.0,0.0,1.0,0.0,1.0554607508532423,visible_vs_normal
G060,2024-03-19,generation,avail_gen_mw,1172.0,4,24,1237.0,0.0,1.0,0.0,1.0554607508532423,visible_vs_normal
