event_id,day,hour,kind,driver,affected_by_realised_event,baseline_driver_persistence,oracle_driver_realised,matched_normal_driver,operational_anomaly_vs_normal_mw,operational_anomaly_vs_persistence_mw,reduction_mw,n_control_days
G018,2022-01-06,0,generation,avail_gen_mw,False,9486.0,9486.0,10121.0,635.0,-0.0,1063.0,4
G018,2022-01-06,1,generation,avail_gen_mw,False,9486.0,9486.0,10121.0,635.0,-0.0,1063.0,4
G018,2022-01-06,2,generation,avail_gen_mw,False,9486.0,9486.0,10121.0,635.0,-0.0,1063.0,4
G018,2022-01-06,3,generation,avail_gen_mw,False,9486.0,9486.0,10121.0,635.0,-0.0,1063.0,4
G018,2022-01-06,4,generation,avail_gen_mw,False,9486.0,9486.0,10121.0,635.0,-0.0,1063.0,4
G018,2022-01-06,5,generation,avail_gen_mw,False,9486.0,9486.0,10121.0,635.0,-0.0,1063.0,4
G018,2022-01-06,6,generation,avail_gen_mw,False,9486.0,9486.0,10121.0,635.0,-0.0,1063.0,4
G018,2022-01-06,7,generation,avail_gen_mw,False,9486.0,9486.0,10121.0,635.0,-0.0,1063.0,4
G018,2022-01-06,8,generation,avail_gen_mw,False,9486.0,8716.0,10121.0,1405.0,770.0,1063.0,4
G018,2022-01-06,9,generation,avail_gen_mw,False,9486.0,8716.0,10121.0,1405.0,770.0,1063.0,4
G018,2022-01-06,10,generation,avail_gen_mw,False,9486.0,8716.0,10121.0,1405.0,770.0,1063.0,4
G018,2022-01-06,11,generation,avail_gen_mw,False,9486.0,8716.0,10121.0,1405.0,770.0,1063.0,4
G018,2022-01-06,12,generation,avail_gen_mw,False,9486.0,8716.0,10121.0,1405.0,770.0,1063.0,4
G018,2022-01-06,13,generation,avail_gen_mw,False,9486.0,8716.0,10121.0,1405.0,770.0,1063.0,4
G018,2022-01-06,14,generation,avail_gen_mw,False,9486.0,8716.0,10121.0,1405.0,770.0,1063.0,4
G018,2022-01-06,15,generation,avail_gen_mw,False,9486.0,8716.0,10121.0,1405.0,770.0,1063.0,4
G018,2022-01-06,16,generation,avail_gen_mw,False,9486.0,9486.0,10251.0,765.0,-0.0,1063.0,4
G018,2022-01-06,17,generation,avail_gen_mw,False,9486.0,9486.0,10251.0,765.0,-0.0,1063.0,4
G018,2022-01-06,18,generation,avail_gen_mw,False,9486.0,9486.0,10251.0,765.0,-0.0,1063.0,4
G018,2022-01-06,19,generation,avail_gen_mw,False,9486.0,9486.0,10251.0,765.0,-0.0,1063.0,4
G018,2022-01-06,20,generation,avail_gen_mw,False,9486.0,9486.0,10251.0,765.0,-0.0,1063.0,4
G018,2022-01-06,21,generation,avail_gen_mw,True,9486.0,9486.0,10251.0,765.0,-0.0,1063.0,4
G018,2022-01-06,22,generation,avail_gen_mw,True,9486.0,8423.0,10251.0,1828.0,1063.0,1063.0,4
G018,2022-01-06,23,generation,avail_gen_mw,True,9486.0,8423.0,10251.0,1828.0,1063.0,1063.0,4
G018,2022-01-07,0,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,1,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,2,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,3,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,4,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,5,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,6,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,7,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,8,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,9,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,10,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,11,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,12,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,13,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,14,generation,avail_gen_mw,True,8716.0,8423.0,10251.0,1828.0,293.0,1063.0,4
G018,2022-01-07,15,generation,avail_gen_mw,True,8716.0,8423.0,9719.5,1296.5,293.0,1063.0,4
G018,2022-01-07,16,generation,avail_gen_mw,True,8716.0,8423.0,9719.5,1296.5,293.0,1063.0,4
G018,2022-01-07,17,generation,avail_gen_mw,True,8716.0,8423.0,9719.5,1296.5,293.0,1063.0,4
G018,2022-01-07,18,generation,avail_gen_mw,True,8716.0,8423.0,9719.5,1296.5,293.0,1063.0,4
G018,2022-01-07,19,generation,avail_gen_mw,True,8716.0,8423.0,9719.5,1296.5,293.0,1063.0,4
G018,2022-01-07,20,generation,avail_gen_mw,True,8716.0,8423.0,9719.5,1296.5,293.0,1063.0,4
G018,2022-01-07,21,generation,avail_gen_mw,True,8716.0,8423.0,9719.5,1296.5,293.0,1063.0,4
G018,2022-01-07,22,generation,avail_gen_mw,True,8716.0,8423.0,9719.5,1296.5,293.0,1063.0,4
G018,2022-01-07,23,generation,avail_gen_mw,True,8716.0,8423.0,9719.5,1296.5,293.0,1063.0,4
G053,2023-10-19,0,generation,avail_gen_mw,False,8468.0,8468.0,7968.0,-500.0,-0.0,1063.0,4
G053,2023-10-19,1,generation,avail_gen_mw,False,8468.0,8468.0,7968.0,-500.0,-0.0,1063.0,4
G053,2023-10-19,2,generation,avail_gen_mw,False,8468.0,8468.0,7968.0,-500.0,-0.0,1063.0,4
G053,2023-10-19,3,generation,avail_gen_mw,False,8468.0,8468.0,7968.0,-500.0,-0.0,1063.0,4
G053,2023-10-19,4,generation,avail_gen_mw,False,8468.0,8468.0,7968.0,-500.0,-0.0,1063.0,4
G053,2023-10-19,5,generation,avail_gen_mw,False,8468.0,8468.0,7968.0,-500.0,-0.0,1063.0,4
G053,2023-10-19,6,generation,avail_gen_mw,False,8468.0,8468.0,7968.0,-500.0,-0.0,1063.0,4
G053,2023-10-19,7,generation,avail_gen_mw,False,8468.0,8468.0,7968.0,-500.0,-0.0,1063.0,4
G053,2023-10-19,8,generation,avail_gen_mw,False,8468.0,8468.0,7840.5,-627.5,-0.0,1063.0,4
G053,2023-10-19,9,generation,avail_gen_mw,False,8468.0,8468.0,7840.5,-627.5,-0.0,1063.0,4
G053,2023-10-19,10,generation,avail_gen_mw,False,8468.0,8468.0,7840.5,-627.5,-0.0,1063.0,4
G053,2023-10-19,11,generation,avail_gen_mw,False,8468.0,8468.0,7840.5,-627.5,-0.0,1063.0,4
G053,2023-10-19,12,generation,avail_gen_mw,False,8468.0,8468.0,7780.5,-687.5,-0.0,1063.0,4
G053,2023-10-19,13,generation,avail_gen_mw,False,8468.0,8468.0,7780.5,-687.5,-0.0,1063.0,4
G053,2023-10-19,14,generation,avail_gen_mw,True,8468.0,8468.0,7780.5,-687.5,-0.0,1063.0,4
G053,2023-10-19,15,generation,avail_gen_mw,True,8468.0,7405.0,7623.5,218.5,1063.0,1063.0,4
G053,2023-10-19,16,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-19,17,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-19,18,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-19,19,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-19,20,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-19,21,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-19,22,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-19,23,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,0,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,1,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,2,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,3,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,4,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,5,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,6,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,7,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,8,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,9,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,10,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,11,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
G053,2023-10-20,12,generation,avail_gen_mw,True,8468.0,7405.0,7691.0,286.0,1063.0,1063.0,4
