event_id,day,kind,driver,n_scored_hours,n_affected_scored_hours,baseline_mae_all,oracle_mae_all,oracle_minus_baseline_mae_all,baseline_mae_affected,oracle_mae_affected,oracle_minus_baseline_mae_affected,mean_baseline_residual_affected,mean_oracle_forecast_shift_affected,share_correct_sensitivity_sign_affected,median_abs_sensitivity_per_100mw_affected,mean_load_forecast_mw_affected,mean_wind_forecast_mw_affected,mean_solar_forecast_mw_affected,mean_other_import_unavail_mw_affected,mean_other_export_unavail_mw_affected,mean_hydro_reservoir_fill_affected
G018,2022-01-06,generation,avail_gen_mw,0,0,,,,,,,,,,,,,,,,
G018,2022-01-07,generation,avail_gen_mw,0,0,,,,,,,,,,,,,,,,
G053,2023-10-19,generation,avail_gen_mw,24,10,15.773624034108044,15.38053628750707,-0.3930877466009728,13.115106279692188,12.207703064979151,-0.9074032147130368,-6.629118769562309,3.079044688450171,0.9,0.3386644815918185,10718.5,2181.121,39.703,2700.0,1095.0,2277000.0
G053,2023-10-20,generation,avail_gen_mw,24,24,10.464754129576635,9.401863167999041,-1.0628909615775937,10.464754129576635,9.401863167999041,-1.0628909615775937,2.5203625919746067,2.297194121914809,0.5833333333333334,0.12162731962611062,10275.708333333334,2817.43625,38.343333333333334,2633.3333333333335,1095.0,2277000.0
G053,2023-10-21,generation,avail_gen_mw,24,8,12.355693760811747,16.342620931719384,3.9869271709076375,12.628132837144822,12.509857594509022,-0.11827524263580003,11.73270951067488,0.5209634570056241,0.0,0.030513724318641522,8628.625,3057.2425,0.115,2500.0,1104.375,2277000.0
G055,2023-11-29,generation,avail_gen_mw,24,23,33.172583545291694,31.42713804841847,-1.7454454968732183,33.74647485727387,32.13500503278828,-1.6114698244855896,8.698180621263468,1.0679133076932417,0.6956521739130435,0.21371554035111728,13040.304347826086,1111.5965217391306,3.200869565217392,2017.391304347826,2135.217391304348,2015000.0
G055,2023-11-30,generation,avail_gen_mw,24,24,33.42017696395549,33.42017696395549,0.0,33.42017696395549,33.42017696395549,0.0,32.759567153363086,0.0,0.625,0.5013986047925982,13072.916666666666,1262.4408333333333,3.1945833333333327,1925.0,2170.0,2015000.0
G055,2023-12-01,generation,avail_gen_mw,24,24,12.699231243941492,12.698836242761672,-0.00039500117981875843,12.699231243941492,12.698836242761672,-0.00039500117981875843,-4.0742709545112445,-0.00039500117981875843,0.6666666666666666,0.5270050386447451,13023.208333333334,1274.9633333333334,3.7420833333333334,2000.0,2145.0,2015000.0
G055,2023-12-02,generation,avail_gen_mw,24,24,53.52037565584671,54.04743329896845,0.5270576431217489,53.52037565584671,54.04743329896845,0.5270576431217489,-53.52037565584671,0.5270576431217489,0.625,0.47639067168263693,12592.583333333334,480.6366666666666,4.0058333333333325,2000.0,2095.0,2015000.0
G055,2023-12-03,generation,avail_gen_mw,24,24,37.723531470714555,37.723531470714555,0.0,37.723531470714555,37.723531470714555,0.0,-37.723531470714555,0.0,0.625,0.43115095595165087,12735.125,487.6708333333333,4.551666666666667,2000.0,2095.0,2015000.0
G055,2023-12-04,generation,avail_gen_mw,24,3,30.059554503486282,29.99332084254389,-0.06623366094239103,2.62104321223093,5.280044293756585,2.659001081525654,-1.9494738929948738,3.3305704007617103,0.0,0.6013575854842088,11786.666666666666,519.7633333333333,0.02666666666666667,1900.0,2195.0,1930000.0
G060,2024-03-16,generation,avail_gen_mw,24,7,17.237011236182557,16.80833479088284,-0.4286764452997212,12.521043855943764,9.965214613656196,-2.5558292422875692,11.007993314658934,2.5558292422875692,1.0,0.26919858501136673,10540.714285714286,2655.7885714285717,0.35857142857142854,2215.0,2503.5714285714284,1252000.0
G060,2024-03-17,generation,avail_gen_mw,24,24,4.94625313604752,6.132484569535254,1.1862314334877346,4.94625313604752,6.132484569535254,1.1862314334877346,-1.1350921529603997,1.9828605220141358,0.75,0.13272823441271697,10603.625,1479.28125,144.95125,2215.0,2475.0,1252000.0
