event_id,kind,driver,n_event_days,n_affected_scored_hours,baseline_mae_affected,oracle_mae_affected,oracle_minus_baseline_mae_affected,mean_baseline_residual_affected,mean_oracle_forecast_shift_affected,share_correct_sensitivity_sign_affected,median_abs_sensitivity_per_100mw_affected
G053,generation,avail_gen_mw,3,42,12.06933108213788,11.37314127582907,-0.69618980630881,2.541317777695726,1.9657340891235346,0.49444444444444446,0.16360184184552354
G097,generation,avail_gen_mw,3,47,21.928132684659932,21.337107713037057,-0.5910249716228785,17.680672608739904,0.5801191144637974,0.2996031746031746,0.08480813508251472
G090,generation,avail_gen_mw,3,39,19.55873418324727,19.49189882132094,-0.06683536192633259,-4.900373577419353,0.3075839890991008,0.5265151515151515,0.036054598019116924
G060,generation,avail_gen_mw,7,129,14.950341652800876,14.901757999042283,-0.048583653758595115,-7.71698157873965,0.5887490712765914,0.7083333333333333,0.1694266322037922
G079,generation,avail_gen_mw,9,180,23.771653109394585,23.733721488857896,-0.037931620536685,11.257258758645142,0.13752861206299455,0.19907407407407407,0.053341354329035875
T069,transmission,unavail_tx_import_mw,32,751,19.60552143302941,19.627588844672513,0.02206741164310304,6.423083426650899,0.06121635110208751,0.7468863224637681,0.06671342791021373
G085,generation,avail_gen_mw,3,59,10.850826580782496,10.886453055187253,0.035626474404757746,5.059558125767034,0.0011611654926906346,0.4444444444444444,0.01527929555015343
T060,transmission,unavail_tx_import_mw,6,143,33.52822411586973,33.59200756743683,0.06378345156709882,-12.040727052242772,0.04239870247683066,0.8740942028985508,0.5380451173783681
G074,generation,avail_gen_mw,4,58,12.052556652363366,12.281375203845522,0.22881855148215496,2.1685735975619753,0.8813094020069474,0.46875,0.17785116634245313
T064,transmission,unavail_tx_import_mw,6,114,12.31252043123555,12.543522232806083,0.23100180157053332,-11.181694366172168,0.0005810734436652402,0.9680555555555556,0.21402896817470238
T065,transmission,unavail_tx_import_mw,10,223,11.875900980538049,12.125833473096426,0.24993249255837702,-6.2366517478823305,0.3275213915915352,0.9875,0.2761415334952472
G055,generation,avail_gen_mw,6,122,28.95513890066051,29.21750455049084,0.26236564983033245,-9.301650699906805,0.820857725066147,0.5395531400966184,0.45850306615115954
G018,generation,avail_gen_mw,2,0,,,,,,,
