check,event_id,day,hour,detail
model_coverage,G018,2022-01-08,,missing frozen test model: 2022-01-08.npz
model_coverage,G018,2022-01-09,,missing frozen test model: 2022-01-09.npz
model_coverage,G018,2022-01-10,,missing frozen test model: 2022-01-10.npz
model_coverage,G018,2022-01-11,,missing frozen test model: 2022-01-11.npz
model_coverage,G010,2021-08-23,,missing frozen test model: 2021-08-23.npz
model_coverage,G010,2021-08-24,,missing frozen test model: 2021-08-24.npz
model_coverage,G010,2021-08-25,,missing frozen test model: 2021-08-25.npz
model_coverage,G010,2021-08-26,,missing frozen test model: 2021-08-26.npz
model_coverage,G010,2021-08-27,,missing frozen test model: 2021-08-27.npz
model_coverage,G014,2021-10-01,,missing frozen test model: 2021-10-01.npz
model_coverage,G014,2021-10-02,,missing frozen test model: 2021-10-02.npz
model_coverage,G014,2021-10-03,,missing frozen test model: 2021-10-03.npz
model_coverage,G016,2021-12-29,,missing frozen test model: 2021-12-29.npz
model_coverage,G016,2021-12-30,,missing frozen test model: 2021-12-30.npz
model_coverage,G016,2021-12-31,,missing frozen test model: 2021-12-31.npz
model_coverage,G016,2022-01-01,,missing frozen test model: 2022-01-01.npz
model_coverage,G015,2021-12-17,,missing frozen test model: 2021-12-17.npz
model_coverage,G015,2021-12-18,,missing frozen test model: 2021-12-18.npz
model_coverage,G015,2021-12-19,,missing frozen test model: 2021-12-19.npz
model_coverage,G008,2021-07-26,,missing frozen test model: 2021-07-26.npz
model_coverage,G008,2021-07-27,,missing frozen test model: 2021-07-27.npz
model_coverage,G008,2021-07-28,,missing frozen test model: 2021-07-28.npz
model_coverage,G008,2021-07-29,,missing frozen test model: 2021-07-29.npz
model_coverage,G008,2021-07-30,,missing frozen test model: 2021-07-30.npz
model_coverage,G008,2021-07-31,,missing frozen test model: 2021-07-31.npz
model_coverage,G008,2021-08-01,,missing frozen test model: 2021-08-01.npz
model_coverage,G008,2021-08-02,,missing frozen test model: 2021-08-02.npz
model_coverage,G008,2021-08-03,,missing frozen test model: 2021-08-03.npz
model_coverage,G008,2021-08-04,,missing frozen test model: 2021-08-04.npz
model_coverage,G008,2021-08-05,,missing frozen test model: 2021-08-05.npz
model_coverage,G008,2021-08-06,,missing frozen test model: 2021-08-06.npz
model_coverage,G008,2021-08-07,,missing frozen test model: 2021-08-07.npz
model_coverage,G008,2021-08-08,,missing frozen test model: 2021-08-08.npz
model_coverage,G008,2021-08-09,,missing frozen test model: 2021-08-09.npz
model_coverage,G008,2021-08-10,,missing frozen test model: 2021-08-10.npz
model_coverage,G008,2021-08-11,,missing frozen test model: 2021-08-11.npz
model_coverage,G008,2021-08-12,,missing frozen test model: 2021-08-12.npz
model_coverage,G008,2021-08-13,,missing frozen test model: 2021-08-13.npz
model_coverage,G008,2021-08-14,,missing frozen test model: 2021-08-14.npz
model_coverage,G008,2021-08-15,,missing frozen test model: 2021-08-15.npz
model_coverage,G008,2021-08-16,,missing frozen test model: 2021-08-16.npz
model_coverage,G008,2021-08-17,,missing frozen test model: 2021-08-17.npz
model_coverage,G008,2021-08-18,,missing frozen test model: 2021-08-18.npz
model_coverage,G008,2021-08-19,,missing frozen test model: 2021-08-19.npz
model_coverage,G008,2021-08-20,,missing frozen test model: 2021-08-20.npz
model_coverage,G008,2021-08-21,,missing frozen test model: 2021-08-21.npz
model_coverage,G008,2021-08-22,,missing frozen test model: 2021-08-22.npz
model_coverage,G008,2021-08-23,,missing frozen test model: 2021-08-23.npz
model_coverage,G008,2021-08-24,,missing frozen test model: 2021-08-24.npz
model_coverage,G008,2021-08-25,,missing frozen test model: 2021-08-25.npz
model_coverage,G008,2021-08-26,,missing frozen test model: 2021-08-26.npz
model_coverage,G008,2021-08-27,,missing frozen test model: 2021-08-27.npz
model_coverage,G008,2021-08-28,,missing frozen test model: 2021-08-28.npz
model_coverage,G008,2021-08-29,,missing frozen test model: 2021-08-29.npz
model_coverage,G008,2021-08-30,,missing frozen test model: 2021-08-30.npz
model_coverage,G008,2021-08-31,,missing frozen test model: 2021-08-31.npz
model_coverage,G008,2021-09-01,,missing frozen test model: 2021-09-01.npz
model_coverage,G008,2021-09-02,,missing frozen test model: 2021-09-02.npz
model_coverage,G008,2021-09-03,,missing frozen test model: 2021-09-03.npz
model_coverage,G008,2021-09-04,,missing frozen test model: 2021-09-04.npz
model_coverage,G008,2021-09-05,,missing frozen test model: 2021-09-05.npz
model_coverage,G008,2021-09-06,,missing frozen test model: 2021-09-06.npz
model_coverage,G008,2021-09-07,,missing frozen test model: 2021-09-07.npz
model_coverage,G008,2021-09-08,,missing frozen test model: 2021-09-08.npz
model_coverage,G008,2021-09-09,,missing frozen test model: 2021-09-09.npz
